3,8|Государственное учреждение здравоохранения «Энгельсская городская поликлиника № 4»|413119, Саратовская область, Энгельсский район, р.п.Приволжский, 8 квартал, д.5|1|(8453) 55-06-32|Перепелов Михаил Александрович|http://enggp4.medportal.saratov.gov.ru/|ГУЗ «Энгельсская городская поликлиника№4» - это многопрофильное лечебно – профилактическое медицинское учреждение, оказывающее квалифицированную помощь детям и взрослым. Район деятельности нашего учреждения, включает в себя поселок Приволжский, Анисовку, Квасниковку. В районе проживают 34567 человек. Мощность поликлиники – 450 посещений в смену. В состав поликлиники входят терапевтическое отделение – это 12 терапевтических участков, офис врача общей практики станции Анисовка и отделение врача общей семейной практики села Квасниковка. Так же в структуру учреждения входят консультативно-диагностическое отделение, женская консультация, хирургическое отделение, отделение медицинской профилактики, отделение восстановительного лечения, дневной стационар для терапевтической, неврологической группы больных, пациенток женской консультации и койки пациентов педиатрического отделения, педиатрическое отделение, в состав которого входит школьно – дошкольного отделение.
2|Государственное учреждение здравоохранения «Энгельсская детская клиническая больница»|413100, Саратовская область, г.Энгельс, пл.Свободы, д.23|1|(8453) 52-89-04|Черняк Михаил Даниилович|http://enggdb.medportal.saratov.gov.ru/|В настоящее время детская больница является многопрофильным учреждением, оказывающим квалифицированную и специализированную помощь детям Энгельсского муниципального района и левобережных районов области в соответствии с лицензией.
13|Государственное учреждение здравоохранения «Энгельсская психиатрическая больница» министерства здравоохранения Саратовской области|413124, Саратовская область, г. Энгельс, ул.Пристанская, д.166|1|(8453) 55-26-33|Ямпольский Валерий Ремирович|http://engpsihb.medportal.saratov.gov.ru/|Обслуживаемые районы: 1. Дергачевский район 2. Марксовский район 3. Озинский район 4. Советский район 5. Федоровский район 6. г.Энгельс, Энгельсский район
10|Государственное учреждение здравоохранения «Энгельсская станция скорой медицинской помощи»|413116, Саратовская область, г.Энгельс, ул.Менделеева, д.13|1|(8453) 52-56-20|Романов Алексей Юрьевич|http://ssmpeng.medportal.saratov.gov.ru/|-
11|Государственное учреждение здравоохранения «Энгельсский противотуберкулезный диспансер» министерства здравоохранения Саратовской области|413124, Саратовская область, г.Энгельс, ул.Маршала Василевского,  д.45|1|(8453) 55–21–49|Пархонюк Вадим Иванович|http://engptd.medportal.saratov.gov.ru/|-
14|Государственное учреждение здравоохранения «Областной онкологический диспансер N 1»|413115, Саратовская область, г.Энгельс, ул.Полиграфическая, д.3|1|(8453) 56-37-81|Семенченя Владимир Александрович|http://sarood1.medportal.saratov.gov.ru/|С 1997 года коллектив диспансера возглавляет Заслуженный врач РФ, к.м.н. В.А. Семенченя. С 2006 года при поликлиническом отделении открыт маммологический центр. Любая женщина получает бесплатную высококвалифицированную медицинскую помощь. На сегодняшний день имеется возможность выявить злокачественное новообразование на ранней стадии. В настоящий момент на базе стационара организовано 6 отделений: онкогинекологическое, торако-абдоминальное, общей онкологии, опухолей головы и шеи, химиотерапевтическое и радиологическое. Ежегодно в диспансере получает квалифицированное более 8 тысяч онкологических больных, выполняется более 3,8 тысяч операций повышенной категории сложности при опухолях различных локализаций. Широко используются функционально щадящие и органосохраняющие операции при раке молочной железы, шейки матки. Развивается эндоскопическая хирургия. Внедрение новых методов лечения позволило значительно сократить время пребывания пациентов в стационаре без ущерба для качества лечения
1,2,3,4,8|Государственное учреждение здравоохранения Саратовской области «Турковская районная больница»|р.п.Турки, ул.Больничная, д.80|2|(8454) 32-11-02|Мельникова Валентина Николаевна|http://turcrb.medportal.saratov.gov.ru/|В настоящее время ГУЗ СО «Турковская РБ» является многопрофильным лечебно-профилактическим учреждением, оказывающим высококвалифицированную, специализированную помощь в стационарных условиях и амбулаторно. Турковская РБ занимает 5 одноэтажных, 1 двухэтажное здание, 1 трехэтажное здание, которые расположены по типу больничного городка.состав РБ входит: хирургическое, терапевтическое, инфекционное, детское отделение, акушерское отделение патологии беременности, детская консультация, поликлиника на 100 посещений в день. Открыт массажный кабинет, оборудован зал для физической культуры. Имеется центральное стерилизационное отделение. Открыт кабинет здорового образа жизни, здесь можно пройти анонимное обследование на ВИЧ-инфекцию и другие венерические заболевания. Функционирует телефон доверия. Организован кабинет планирования семьи, где женщины и мужчины могут получить консультации по интересующим их вопросам.
1,3,8|Государственное учреждение здравоохранения Саратовской области «Саратовская городская клиническая больница № 5»|410071, г.Саратов, 4-й Рабочий пр., д.3|3|(8452) 49-37-63|Семенищев Сергей Юрьевич|http://sargkb5.medportal.saratov.gov.ru/|ГУЗ "Саратовская городская клиническая больница № 5" имеет в своем составе имеет поликлинику и стационар. Главный врач ЛПУ - Юанов Аслан Аскербиевич. В поликлинике СГКБ №5 развернуто терапевтическое отделение. На базе поликлиники функционируют следующие подразделения: Городской гастроэнтерологический диспансер, на базе которого оказывается амбулаторная медицинская помощь всем жителям города Саратова. ЦАХ Фрунзенского района/. Женская консультация проводит наблюдение и лечение беременных женщин и гинекологических больных. Дневной стационар (рассчитан на 22 койки: терапевтического, неврологического, хирургичееского, ЛОР профилей, койки патологии беременности. А также диагностическое, рентгенологическое, отделение восстановительного лечения. Стационар СГКБ № 5, открытый на 116 (в т.ч. 6 ПИТ) коек, имеет в своем составе 2 отделения: это терапевтическое на 56 коек (и гастроэнтерологическое на 60 коек).
5|Государственное автономное учреждение здравоохранения "Саратовская стоматологическая поликлиника № 2"|410052, г.Саратов, проспект 50 лет Октября, д.130|3|(8452) 49-45-88|Резугин Артем Михайлович|http://sarstomp2.medportal.saratov.gov.ru/|ГАУЗ «Саратовская стоматологическая поликлиника №2» одно из крупнейших лечебно-профилактических учреждений стоматологического профиля в городе Саратове, основанное в 1964 году. Поликлиника имеет пять лечебно-профилактических отделений, в которых можно получить все виды высококвалифицированной стоматологической помощи. Поликлиника оснащена современным оборудованием и оказывает лечебно-профилактическую и консультативно-диагностическую помощь населению Ленинского района. Поликлиника имеет лицензию на медицинскую деятельность, регистрационный номер ЛО-64-01-002837 от 02.02.15г. (Выдана Министерством Здравоохранения Саратовской области. Срок действия - бессрочно).
5,6|Государственное автономное учреждение здравоохранения «Саратовская стоматологическая поликлиника № 1»|410022, г.Саратов, ул. им.Хомяковой  В.Д., д.13|3|(8452) 92-05-57|Костин Андрей Юрьевич|http://sarstomp1.medportal.saratov.gov.ru/|Учреждение осуществляет медицинское обслуживание населения в рамках Программы государственных гарантий оказания гражданам Российской Федерации бесплатной медицинской помощи. С целью более полного удовлетворения потребностей населения в медицинской помощи, по личной инициативе граждан, в соответствии с действующим законодательством и Разрешением от 29.01.2011 г. предоставляются платные медицинские услуги населению дополнительно к гарантированному объему бесплатной медицинской помощи. Услуги предоставляются в двух отделениях: Отделение для взрослого населения (ул. им. В.Д. Хомяковой д.13) Детское отделение (ул. Барнаульская д.7)
5|Государственное автономное учреждение здравоохранения «Саратовская стоматологическая поликлиника № 3»|410012, г.Саратов, ул. им. Емлютина Д.В., д.44|3|(8452) 51-07-46|Карпович Анатолий Васильевич|http://sarstomp3.medportal.saratov.gov.ru/|ГАУЗ "Саратовская стоматологическая поликлиника №3"осуществляет доврачебную медицинскую помощь по: медицинской статистике, рентгенологии, сестринскому делу, стоматологии, стоматологии ортопедической, физиотерапии; осуществляет амбулаторно-поликлиническую медицинскую помощь, в том числе: при осуществлении первичной медико-санитарной помощи по: контролю качества медицинской помощи, общественному здоровью и организации здравоохранения, рентгенологии, стоматологии, физиотерапии, экспертизе временной нетрудоспособности; при осуществлении специализированной медицинской помощи по: контролю качества медицинской помощи, общественному здоровью и организации здравоохранения, рентгенологии, стоматологии, стоматологии ортопедической, стоматологии терапевтической, стоматологии хирургической, физиотерапии, экспертизе временной нетрудоспособности.
5|Государственное автономное учреждение здравоохранения «Саратовская стоматологическая поликлиника № 6»|410056, г.Саратов, ул.Астраханская, д.88|3|(8452) 51-85-76|Чибриков Михаил Геннадьевич|http://sarstomp6.medportal.saratov.gov.ru/|ГАУЗ «Саратовская стоматологическая поликлиника №6» находится во Фрунзенском районе г. Саратова по улице Астраханская, дом 88. Она занимает 5 и 6 этажи 6-ти этажного кирпичного здания, введена в эксплуатацию в 1982 году. Поликлиника работает по будням с 8:00 до 20:00, в выходные и праздничные дни прием осуществляется дежурным персоналом с 9:00 до 15:00.Поликлиника работает как в системе ОМС (бесплатная стоматологическая помощь осуществляется по страховым полисам), так же оказываются платные медицинские услуги по желанию пациента. Виды стоматологической помощи согласно лицензии: Терапевтическая, Хирургическая, Ортопедическая. Прием в терапевтическом и хирургическом отделениях проводится по предварительной записи, в ортопедическом отделении – по обращаемости. Пациенты с острой болью принимаются вне очереди. Нетранспортабельные больные обслуживаются на дому.
1|Государственное автономное учреждение здравоохранения Саратовской области «Областная офтальмологическая больница»|410051, г.Саратов, 9 Дачная остановка тер|3|(8452) 48-92-90|Максимов Владимир Юрьевич|http://oftb.medportal.saratov.gov.ru/|Государственное автономное учреждение здравоохранения Саратовской области «Областная офтальмологическая больница» осуществляет свою деятельность на основании лицензии № ФС - 64 – 01 – 001490 от 16 декабря 2011 года.Работа больницы осуществляется согласно распоряжению Правительства Саратовской области «О создании государственных автономных учреждений Саратовской области» №269-Пр от 27.09.2011г.Государственное автономное учреждение здравоохранения «Областная Офтальмологическая больница» Микрохирургия глаза и ЛОР – органов - специализированное медицинское учреждение, оснащенное современным диагностическим и лечебным оборудованием, укомплектованное высококвалифицированными кадрами. Областная офтальмологическая больница соответствует мировым стандартам.
15|Государственное учреждение «Центр медицины катастроф Саратовской области»|410078, г.Саратов, ул.Рабочая, д.145/155|3|(8452) 52-41-44, 51-85-62|Толкачев Дмитрий Алиевич|http://cmedkat.medportal.saratov.gov.ru/|Центр медицины катастроф - медицинское учреждение особого типа с правом юридического лица, являющийся органом повседневного управления Службой медицины катастроф Саратовской области.
7|Государственное учреждение здравоохранения «Специализированный дом ребенка для детей с органическим поражением центральной нервной системы, в том числе детскими церебральными параличами, без нарушения психики» г. Саратова МЗ СО|410054, г.Саратов, ул.2-я Садовая, д.103А|3|(8452) 56–12–45|Банникова Марина Борисовна|http://srtdomreb.medportal.saratov.gov.ru/|Учреждение осуществляет медицинскую деятельность по лицензии №-ЛО-64-01-002152 от 25 декабря 2013г.  Номенклатура работ и услуг: при осуществлении доврачебной медицинской помощи по: диетологии, медицинскому массажу, организации сестринского дела, сестринскому делу в педиатрии, физиотерапии. При осуществлении амбулаторно-поликлинической медицинской помощи, в том числе: при осуществлении специализированной медицинской помощи по: контролю качества медицинской помощи, неврологии, общественному здоровью и организации здравоохранения, оториноларингологии, педиатрии.
15|Государственное учреждение здравоохранения «Бюро судебно-медицинской экспертизы министерства здравоохранения Саратовской области»|410071, г.Саратов, ул.Шелковичная. д.177|3|(8452) 52-15-82, 56-12-49|Арсентьева Любовь Анатольевна|http://bsms.medportal.saratov.gov.ru/|ГУЗ «Бюро судебно-медицинской экспертизы министерства здравоохранения Саратовской области» многопрофильное, комплексное научно-практическое учреждение, осуществляющее производство сложнейших судебно-медицинских экспертиз.
9|Государственное учреждение здравоохранения «Клинический перинатальный центр Саратовской области»|410047, г.Саратов, ул.Зерновая, д.33|3|(8452) 49-06-60|Ермолаева Елена Ивановна|http://pcso.medportal.saratov.gov.ru/|Государственное учреждение здравоохранения «Перинатальный центр Саратовской области» открыто в 2011 году. Центр рассчитан на 3 000 родов в год и размещен в современном здании площадью 27 тыс. кв. м. Акушерский стационар представлен родовым блоком с 10 индивидуальными родовыми залами, оснащенными современной аппаратурой для мониторинга состояния матери и плода. Родовые залы и операционные залы имеют уникальную систему очистки и кондиционирования воздуха, позволяющую уменьшить риск распространения внутрибольничной инфекции. Благодаря высококвалифицированному медперсоналу и аппаратуре в отделении проводят родоразрешение у женщин высокой группы риска. Консультации специалистов проводятся так же в кабинетах медико-генетической консультации, психологической подготовки, медико-психологической и правовой помощи. В перинатальном центре организован центр перинатальной диагностики для всех жителей Саратовской области, позволяющий предупредить рождение детей с врожденными пороками развития.
